Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,302.859985,302.859985,295.890015,298.75,298.75,2156400
2021-04-06,300.380005,309.329987,298.019989,308.519989,308.519989,2004800
2021-04-07,306.869995,311.320007,304.75,306.040009,306.040009,1162200
2021-04-08,309.970001,313.880005,308.109985,312.559998,312.559998,1550000
2021-04-09,311.450012,319.299988,310.600006,318.119995,318.119995,1357900
2021-04-12,317.779999,324.26001,314.359985,323.869995,323.869995,1246900
2021-04-13,322.670013,324.420013,318.570007,324,324,1077400
2021-04-14,323.859985,325,321.220001,323,323,1060500
2021-04-15,324.540009,328.399994,323.399994,325.829987,325.829987,1058100
2021-04-16,325.51001,325.730011,321.51001,324.100006,324.100006,923200
2021-04-19,321.480011,324.970001,321.480011,322.269989,322.269989,1062600
2021-04-20,322.799988,323.649994,314.829987,316.290009,316.290009,868200
2021-04-21,316.899994,326.679993,316.700012,326.679993,326.679993,1243800
2021-04-22,326.179993,338.880005,326.179993,338.75,338.75,2146700
2021-04-23,338.609985,342.459991,336.709991,340.980011,340.980011,1641400
2021-04-26,340.609985,341.119995,334.839996,337.799988,337.799988,787300
2021-04-27,338,341.480011,336.200012,339.279999,339.279999,617600
2021-04-28,339.269989,342,335.589996,338.059998,338.059998,626000
2021-04-29,340.839996,347,339.170013,342.899994,342.899994,1067300
2021-04-30,342.859985,344.450012,334.98999,335.269989,335.269989,1091600
2021-05-03,336.470001,337.019989,332.76001,335.380005,335.380005,757000
2021-05-04,330,331.98999,321.880005,324.899994,324.899994,1025400
2021-05-05,326.859985,330.73999,321.019989,322.089996,322.089996,823800
2021-05-06,320.5,323.769989,317.290009,321.279999,321.279999,742000
2021-05-07,322.029999,331.549988,322.029999,330.23999,330.23999,859900
2021-05-10,330,331.649994,324.149994,324.26001,324.26001,856900
2021-05-11,318.690002,323.769989,316.399994,322.040009,322.040009,1200000
2021-05-12,317.019989,321.700012,304.299988,305.209991,305.209991,1312800
2021-05-13,307.779999,311.040009,304,307.929993,307.929993,854300
2021-05-14,309.420013,316.769989,309,314.649994,314.649994,606400
2021-05-17,311.5,314.649994,309.119995,314.540009,314.540009,631800
2021-05-18,314.299988,316.579987,310.790009,312.029999,312.029999,653600
2021-05-19,307.459991,310.920013,304.380005,310.309998,310.309998,737700
2021-05-20,310.910004,320.040009,310.720001,319.170013,319.170013,846200
2021-05-21,322.869995,322.869995,310.410004,313.200012,313.200012,1186900
2021-05-24,315.23999,320.399994,313.5,318.190002,318.190002,735700
2021-05-25,320.839996,324.549988,318.820007,324.109985,324.109985,967700
2021-05-26,325.910004,330.029999,324.369995,329.76001,329.76001,1049600
2021-05-27,327.519989,331.399994,323.720001,328.109985,328.109985,1744100
2021-05-28,330.519989,330.519989,323,323.130005,323.130005,909400
2021-06-01,322.440002,323.390015,315.899994,318.619995,318.619995,1318200
2021-06-02,319.910004,321.709991,315.790009,320.779999,320.779999,1124900
2021-06-03,318.630005,320.920013,313.059998,317.359985,317.359985,1954900
2021-06-04,321.859985,331.029999,318.5,329.519989,329.519989,2591100
